Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,26.207083487688763,37.38930859390035,296.6876851818938,3.0203852732136838,0.22577119933458417,-2.7318905154376822,1.039886808266676,0
1,-34,26.37138285517478,37.078476243775484,293.66984876752934,-1.960071901479057,1.5413706682888804,-1.4220873348396454,1.032811760155485,0
2,-33,25.655312820262544,36.4701549723546,291.5630120062208,-3.1372284899174154,0.3288716541193159,-2.622080552045715,1.0556483889231956,0
3,-32,25.043108738742376,36.54778772341906,289.2318605936281,-1.8602828816583648,1.617954721998036,-1.311245068412341,1.021758513548873,0
4,-31,25.37713234384592,36.03924481806303,287.0066015254759,-3.071880093164514,0.4248159180825077,-2.514435910787768,1.0133521444181506,0
5,-30,25.23528029901757,34.78381154206973,284.62499357030595,-1.759461447447961,1.7453870729764513,-1.200436186627831,1.0117710659747665,0
6,-29,24.45756492728325,35.162692411124304,283.2330056015948,-0.43298124532126564,3.066978022982716,0.10989598765969831,1.0279190938139324,0
7,-28,23.154781424947583,34.969394744857375,281.716658981185,0.8710381126174053,-1.9288966101233986,1.4205594687749814,1.0212749706373208,0
8,-27,23.361188517608557,35.37541830451171,277.6777170249246,-0.34626183449990544,-3.122576849065582,0.21871546238091988,1.005819029914071,0
9,-26,21.92701556631514,34.31769825061413,277.0432077810138,0.9296739807375985,-1.8192181384550186,1.5284378236081695,0.972032483924326,0
10,-25,22.062397395815402,34.13893756463715,276.2768209012833,2.261910135810279,-0.49913383381430754,2.841962877250986,0.9907435853541893,0
11,-24,20.91112879641662,34.28072061863355,274.342849130908,1.0416590871774924,-1.6945453997832527,1.640811278763929,0.9716441352084599,0
12,-23,20.548906909236262,33.80080334790998,273.0277896063587,-1.4390458788441518,2.1086030743919872,-0.8181909839490034,0.9499414318997479,0
13,-22,19.681060861885094,33.87701108112091,271.2745246553305,-0.14906880692420518,-2.8528238196771016,0.491970472601286,0.9297570472694057,0
14,-21,19.03999251363513,34.324059213782746,269.3624350693949,1.146879888009754,-1.5411386747160631,1.8023654935760005,0.91531072122865,0
15,-20,18.078956528952123,34.03159651080706,267.810132826621,2.4540796979226336,-0.220768970382749,3.1146022993333182,0.9102737253842115,0
16,-19,17.33554633887422,33.20611344666346,268.03794567459704,-2.5582308146599297,1.0818488254362761,-1.8580170618656873,0.8705825740006539,0
17,-18,16.671968914135537,32.92787117627803,266.7070556982268,-2.5379716767070613,1.1330083183487558,-1.805037236391744,0.8378618864795793,0
18,-17,15.605943092694949,32.668898396365044,264.2328887245829,-0.006046468718971095,-2.572228446462514,0.7631869262845729,0.8015629317913526,0
19,-16,15.385660661063383,32.31534633369001,263.50052014081234,1.2240293449701005,-1.2815681218826849,2.0754970637986334,0.7193286079663634,0
20,-15,14.146516499625706,32.182083056499465,261.9855005268665,2.564573235445208,0.036857264010154565,-2.8978847188712527,0.7500689739317714,0
21,-14,13.71316939560868,32.78957634098883,261.387745891715,0.01728217763756795,-2.41884149559579,0.9276756162795369,0.6604028881529276,0
22,-13,12.852593640036797,31.70759585641252,261.0127594354772,2.5067131795604576,0.1477200646995146,-2.786891131595105,0.5812153307708723,0
23,-12,11.806030196684858,32.63407475470889,260.3176798763218,-2.529469664539243,1.4519666038366885,-1.4762075970847455,0.5175342593403993,0
24,-11,11.407812159723678,31.73483770825393,259.63266248273584,1.263265193349561,-0.9931481710929474,2.3490686258905993,0.4849928942538586,0
