Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,79.0827324933207,50.22668174158505,401.4442083443046,-0.28947189160527725,2.925655777316936,-0.0061928470046811596,1.2875172821943002,0
1,-34,78.03795259066855,48.69085586389945,395.5855822522325,-0.24145239637721863,3.0010159595183086,0.04926036515780362,1.2800835652598739,0
2,-33,75.58914305534903,47.746347526926534,390.9993227338559,-2.7014820868213034,0.5338105700623569,-2.410954541060055,1.280268781033648,0
3,-32,73.77650140268761,47.07166520917198,385.82075887362276,-1.391248370025186,1.8407213620567737,-1.0997012898884408,1.2792492466581518,0
4,-31,71.31899720095983,46.510613595978306,381.4271044995042,-2.5959690618058646,0.6449877124963783,-2.3011179315625143,1.2759451965515467,0
5,-30,69.74665134842137,46.522577572140904,376.57415466219476,-1.286522617588321,1.950200317587966,-0.9934173233325369,1.2776910325391126,0
6,-29,67.81154738623161,45.718942574359346,372.59367723911674,2.523579368807936,-0.4973869350913741,2.8322116169125975,1.262164078690235,0
7,-28,65.5786258261518,45.36128748965724,369.78508100066216,2.5820932606550846,-0.4662483028431086,2.8881196724982154,1.2647699149517653,0
8,-27,62.68660309015688,44.34478123043773,364.50254177923307,-2.387195075185038,0.8594571432127805,-2.0858638550384216,1.2694651066482798,0
9,-26,59.971951246719556,44.62600745517294,360.9197978638848,-1.092191597008438,2.157630450310252,-0.7747361026075487,1.2533408323940076,0
10,-25,58.184987233538344,43.79732416822123,358.780995707424,2.7210342710728534,-0.3011305032682306,3.04965698222352,1.24217361564423,0
11,-24,55.050086525032434,43.37302854725223,354.9081736844125,0.2572279198373207,-2.755104396665613,0.5883039354439369,1.2397203111882806,0
12,-23,52.126408629854915,42.712503674893426,351.5745212354378,1.5501061878669917,-1.4335273158501964,1.9005517908144163,1.2203507238474725,0
13,-22,49.711828364816164,42.138733984103375,349.5422952969716,-0.9078071337992482,2.3895944833473566,-0.5600678576332259,1.2230570506288743,0
14,-21,47.43290838114364,42.11258272608109,345.8605761692353,2.8995173398129896,-0.07827647648903972,-3.0178207338851926,1.204949093313493,0
15,-20,45.208734005100894,41.30141811164517,344.30307387213367,0.42519287522950217,-2.561153714606312,0.8061109495821623,1.1898782524422362,0
16,-19,42.53135905797868,41.763126217504,342.20804830865114,2.983195885110217,0.02441021804265278,-2.9095138902122017,1.1803207949377281,0
